State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Arunachal Pradesh,2,Arunachal East,(ST),Ninong Ering,M,INC,115423,Tapir Gao,M,BJP,46974
Assam,1,Karimganj,(SC),Lalit Mohan Suklabaidya,M,INC,259717,Rajesh Mallah,M,AUDF,251797
Assam,2,Silchar,GEN,Kabindra Purkayastha,M,BJP,243532,Badruddin Ajmal,M,AUDF,202062
Assam,3,Autonomous District,(ST),Biren Singh Engti,M,INC,197835,Elwin Teron,M,ASDC,123287
Assam,4,Dhubri,GEN,Maulana Badruddin Ajmal,M,AUDF,540820,Anwar Hussain,M,INC,356401
Assam,5,Kokrajhar,(ST),Sansuma Khunggur Bwiswmuthiary,M,BOPF,495211,Urkhao Gwra Brahma,M,IND,304889
Assam,6,Barpeta,GEN,Ismail Hussain,M,INC,322137,Bhupen Ray,M,AGP,291708
Assam,7,Gauhati,GEN,Smt. Bijoya Chakravarty ,F,BJP,496047,Capt. Robin Bordoloi,M,INC,484192
Assam,8,Mangaldoi,GEN,Ramen Deka,M,BJP,307881,Madhab Rajbangshi,M,INC,252032
Assam,9,Tezpur,GEN,Joseph Toppo,M,AGP,352246,Moni Kumar Subba,M,INC,322093
Assam,10,Nawgong,GEN,Rajen Gohain,M,BJP,380921,Anil Raja,M,INC,335541
Assam,11,Kaliabor,GEN,Dip Gogoi,M,INC,434676,Gunin Hazarika,M,AGP,282687
Assam,12,Jorhat,GEN,Bijoy Krishna Handique,M,INC,362320,Kamakhya Tasa,M,BJP,290406
Assam,13,Dibrugarh,(ST),Paban Singh Ghatowar,M,INC,359163,Sarbananda Sonowal,M,AGP,324020
Assam,14,Lakhimpur,GEN,Smt. Ranee Narah,F,INC,352330,Dr. Arun Kr. Sarma,M,AGP,307758
Bihar,1,Valmiki Nagar,GEN,Baidyanath Prasad Mahto,M,JD(U),277696,Fakhruddin,M,IND,94021
Bihar,2,Paschim Champaran,GEN,Dr. Sanjay Jaiswal,M,BJP,198781,Prakash Jha,M,LJP,151438
