State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Karnataka,23,Bangalore Rural,GEN,H.D. Kumaraswamy,M,JD(S),493302,C. P. Yogeeshwara,M,BJP,363027
Karnataka,<b>By Polls (2013)</b>,Bangalore Rural,GEN,D. K. Suresh,M,INC,"5,78,000",Anitha Kumaraswamy,M,JD(S),"4,56,000 "
Karnataka,24,Bangalore North,GEN,Chandre D.B. Gowda,M,BJP,452920,C. K. Jaffer Sharief,M,INC,393255
Karnataka,25,Bangalore Central,GEN,P. C. Mohan,M,BJP,340162,H.T.Sangliana,M,INC,304944
Karnataka,26,Bangalore South,GEN,Ananth Kumar,M,BJP,437953,Krishna Byre Gowda,M,INC,400341
Karnataka,27,Chikkaballapur,GEN,Dr.(Shri) M. Veerappa Moily,M,INC,390500,C.Aswathanarayana,M,BJP,339119
Karnataka,28,Kolar,GEN,K.H. Muniyappa,M,INC,344771,D.S.Veeraiah,M,BJP,321765
Kerala,1,Kasaragod,GEN,P. Karunakaran,M,CPM,385522,Shahida Kamal,M,INC,321095
Kerala,2,Kannur,GEN,Kumbakudi Sudhakaran,M,INC,432878,K.K Ragesh,M,CPM,389727
Kerala,3,Vatakara,GEN,Ramachandran Mullappally,M,INC,421255,Adv. P. Satheedevi,M,CPM,365069
Kerala,4,Wayanad,GEN,M. I. Shanavas,M,INC,410703,Advocate M. Rahmathulla,M,CPI,257264
Kerala,5,Kozhikode,GEN,M. K. Raghavan,M,INC,342309,Adv. P.A. Mohamed Riyas,M,CPM,341471
Kerala,6,Malappuram,GEN,E. Ahamed,M,IUML,427940,T.K. Hamza,M,CPM,312343
Kerala,7,Ponnani,GEN,E. T. Mohammed Basheer,M,IUML,385801,Dr. Hussain Randathani,M,IND,303117
Kerala,8,Palakkad,GEN,M. B. Rajesh,M,CPM,338070,Satheesan Pacheni,M,INC,336250
Kerala,9,Alathur,(SC),Parayamparanbil Kuttappan Biju,M,CPM,387352,N.K Sudheer,M,INC,366392
Kerala,10,Thrissur,GEN,P.C. Chacko,M,INC,385297,C N Jayadevan,M,CPI,360146
Kerala,11,Chalakudy,GEN,K. P. Dhanapalan,M,INC,399035,Adv. U.P Joseph,M,CPM,327356
Kerala,12,Ernakulam,GEN,Prof. Kuruppassery Varkey Thomas,M,INC,342845,Sindhu Joy,M,CPM,331055
Kerala,13,Idukki,GEN,P. T. Thomas,M,INC,408484,Adv. K. Francis George,M,KEC,333688
Kerala,14,Kottayam,GEN,Jose K. Mani,M,KEC(M),404962,Adv. Suresh Kurup,M,CPM,333392
Kerala,15,Alappuzha,GEN,K. C. Venugopal,M,INC,468679,Dr. K.S Manoj,M,CPM,411044
Kerala,16,Mavelikkara,(SC),Suresh Kodikunnil,M,INC,397211,R.S Anil,M,CPI,349163
Kerala,17,Pathanamthitta,GEN,Anto Antony,M,INC,408232,Adv.K.Anantha Gopan,M,CPM,297026
Kerala,18,Kollam,GEN,N. Peethambara Kurup,M,INC,357401,P.Rajendran,M,CPM,339870
Kerala,19,Attingal,GEN,Anirudhan Sampath,M,CPM,328036,Prof.G Balachandran,M,INC,309695
Kerala,20,Thiruvananthapuram,GEN,Dr. Shashi Tharoor,M,INC,326725,Adv. P Ramachandran Nair,M,CPI,226727
Lakshadweep,1,Lakshadweep,(ST),Hamdullah Sayeed,M,INC,20492,Dr. Pookunhikoya,M,NCP,18294
Madhya Pradesh,1,Morena,GEN,Narendra Singh Tomar,M,BJP,300647,Ramniwas Rawat,M,INC,199650
Madhya Pradesh,2,Bhind,(SC),Ashok Argal,M,BJP,227365,Dr. Bhagirath Prasad,M,INC,208479
Madhya Pradesh,3,Gwalior,GEN,Smt. Yashodhara Raje Scindia,F,BJP,252314,Ashok Singh,M,INC,225723
Madhya Pradesh,4,Guna,GEN,Jyotiraditya Madhavrao Scindia,M,INC,413297,Dr.Narottam Mishra,M,BJP,163560
Madhya Pradesh,5,Sagar,GEN,Bhoopendra Singh,M,BJP,323954,Aslam Sher Khan,M,INC,192786
Madhya Pradesh,6,Tikamgarh,(SC),Dr. Virendra Kumar,M,BJP,200109,Ahirwar Vrindavan,M,INC,158247
Madhya Pradesh,7,Damoh,GEN,Shivraj Singh Lodhi,M,BJP,302673,Chandrabhan Bhaiya,M,INC,231796
Madhya Pradesh,8,Khajuraho,GEN,Jeetendra Singh Bundela,M,BJP,229369,Raja Paterya,M,INC,201037
Madhya Pradesh,9,Satna,GEN,Ganesh Singh,M,BJP,"194624
 ",Sukhlal Kushwaha,M,BSP,190206
Madhya Pradesh,10,Rewa,GEN,Deoraj Singh Patel,M,BSP,172002,Sunder Lal Tiwari,M,INC,167981
Madhya Pradesh,11,Sidhi,GEN,Govind Prasad Mishra,M,BJP,270914,Indrajeet Kumar,M,INC,225174
Madhya Pradesh,12,Shahdol,(ST),Smt. Rajesh Nandini Singh,F,INC,263434,Narendra Singh Maravi,M,BJP,250019
Madhya Pradesh,13,Jabalpur,GEN,Rakesh Singh,M,BJP,343922,Advocate Rameshwar Neekhra,M,INC,237919
Madhya Pradesh,14,Mandla,(ST),Basori Singh Masram,M,INC,391133,Faggan Singh Kulaste,M,CPI(ML)(L),326080
Madhya Pradesh,15,Balaghat,GEN,K. D. Deshmukh,M,BJP,299959,Vishveshwar Bhagat,M,INC,259140
Madhya Pradesh,16,Chhindwara,GEN,Kamal Nath,M,INC,409736,Marot Rao Khavase,M,BJP,288516
Madhya Pradesh,17,Hoshangabad,GEN,Uday Pratap Singh,M,INC,339496,Rampal Singh,M,BJP,320251
Madhya Pradesh,18,Vidisha,GEN,Smt. Sushma Swaraj,F,BJP,438235,Choudhary Munabbar Salim,M,SP,48391
Madhya Pradesh,19,Bhopal,GEN,Kailash Joshi,M,BJP,335678,Surendra Singh Thakur,M,INC,270521
Madhya Pradesh,20,Rajgarh,GEN,Narayan Singh Amlabe,M,INC,319371,Lakshman Singh,M,BJP,294983
Madhya Pradesh,21,Dewas,(SC),Sajjan Singh Verma,M,INC,376421,Thavarchand Gehlot,M,BJP,360964
Madhya Pradesh,22,Ujjain,(SC),Prem Chand Guddu,M,INC,326905,Dr. Satyanarayan Jatiya,M,BJP,311064
Madhya Pradesh,23,Mandsaur,GEN,Km. Meenakshi Natrajan,F,INC,373532,Dr. Laxminarayan Pandey,M,BJP,342713
Madhya Pradesh,24,Ratlam,(ST),Kantilal Bhuria,M,INC,308923,Dileepsingh Bhuria,M,BJP,251255
Madhya Pradesh,25,Dhar,(ST),Gajendra Singh Rajukhedi,M,INC,302660,Mukam Singh Kirade,M,BJP,299999
Madhya Pradesh,26,Indore,GEN,Smt. Sumitra Mahajan,F,BJP,388662,Satynarayan Patel,M,INC,377182
Madhya Pradesh,27,Khargone,(ST),Makhansingh Solanki,M,BJP,351296,Balaram Bachchan,M,INC,317121
Madhya Pradesh,28,Khandwa,GEN,Arun Subhashchandra Yadav,M,INC,394241,Nandkumar Sing Chauhan Nandu Bhaiya,M,BJP,345160
Madhya Pradesh,29,Betul,(ST),Smt. Jyoti Dhurve,F,BJP,334939,Ojharam Evane,M,INC,237622
Maharashtra,1,Nandurbar,(ST),Manikrao Hodlya Gavit,M,INC,275936,Gavit Sharad Krushnrao,M,SP,235093
Maharashtra,2,Dhule,GEN,Sonawane Pratap Narayanrao,M,BJP,263260,Amarishbhai Rasiklal Patel,M,INC,243841
Maharashtra,3,Jalgaon,GEN,A.T. (Nana) Patil,M,BJP,343647,Adv. Vasantrao Jivanrao More,M,NCP,247627
Maharashtra,4,Raver,GEN,Haribhau Madhav Jawale,M,BJP,328843,Adv. Ravindra Pralhadrao Patil,M,NCP,300625
Maharashtra,5,Buldhana,GEN,Prataprao Ganpatrao Jadhav,M,SHS,353671,Shingane Dr.Rajendra Bhaskarrao,M,NCP,325593
Maharashtra,6,Akola,GEN,Sanjay Shamrao Dhotre,M,BJP,287526,Ambedkar Prakash Yashwant,M,BBM,222678
Maharashtra,7,Amravati,(SC),Anandrao Adsul,M,SHS,314286,Gawai Rajendra Ramkrushna,M,RPI,252570
Maharashtra,8,Wardha,GEN,Datta Raghobaji Meghe,M,INC,352853,Suresh Ganpatrao Waghmare,M,BJP,256935
Maharashtra,9,Ramtek,(SC),Mukul Balkrishna Wasnik,M,INC,311614,Tumane Krupal Balaj,M,SHS,294913
Maharashtra,10,Nagpur,GEN,Vilas Baburao Muttemwar,M,INC,315148,Purohit Banwarilal Bhagwandas,M,BJP,290749
Maharashtra,11,Bhandara-Gondiya,GEN,Praful Manoharbhai Patel,M,NCP,489814,Nanabhau Falgunrao Patole,M,IND,237899
Maharashtra,12,Gadchiroli-Chimur,(ST),Marotrao Sainuji Kowase,M,INC,321756,Ashok Mahadeorao Nete,M,BJP,293176
Maharashtra,13,Chandrapur,GEN,Hansraj Gangaram Ahir,M,BJP,301467,Pugalia Naresh,M,IND,268972
Maharashtra,14,Yavatmal-Washim,GEN,Ms. Bhavana Gawali (Patil),F,SHS,384443,Harising Rathod,M,INC,327492
Maharashtra,15,Hingoli,GEN,Subhash Bapurao Wankhede,M,SHS,340148,Suryakanta Jaiwantrao Patil,M,NCP,266514
Maharashtra,16,Nanded,GEN,Bhaskarrao Bapurao Patil,M,INC,346400,Sambhaji Pawar,M,BJP,271786
Maharashtra,17,Parbhani,GEN,Ganeshrao Nagorao Dudhgaonkar,M,SHS,385387,Warpudkar Suresh Ambadasrao,M,NCP,319969
Maharashtra,18,Jalna,GEN,Raosaheb Patil Danve,M,BJP,350710,Dr. Kale Kalyan Vaijinathrao,M,INC,342228
Maharashtra,19,Aurangabad,GEN,Chandrakant Bhaurao Khaire,M,SHS,255896,Uttamsingh Rajdharsingh Pawar,M,INC,222882
Maharashtra,20,Dindori,(ST),Harischandra Deoram Chavan,M,BJP,281254,Zirwal Narhari Sitaram,M,NCP,243907
Maharashtra,21,Nashik,GEN,Sameer Magan Bhujbal,M,NCP,238706,Jadhav,M,MNS,216674
Maharashtra,22,Palghar,(ST),Baliram Sukur Jadhav ,M,BVA,223234,Adv. Chintaman Vanga,M,BJP,210874
Maharashtra,23,Bhiwandi,GEN,Suresh Kashinath Taware ,M,INC,182789,Patil Jagannath Shivram,M,BJP,141425
Maharashtra,24,Kalyan,GEN,Anand Prakash Paranjpe,M,SHS,212476,Davkhare Vasant Shankarrao,M,NCP,188274
Maharashtra,25,Thane,GEN,Dr. Sanjeev Ganesh Naik,M,NCP,301000,Chaugule Vijay Laxman,M,SHS,251980
Maharashtra,26,Mumbai-North,GEN,Sanjay Nirupam,M,INC,255157,Ram Naik,M,BJP,249378
Maharashtra,27,Mumbai-North-West,GEN,Gurudas Kamat,M,INC,253920,Gajanan Kirtikar,M,SHS,215533
Maharashtra,28,Mumbai-North-East,GEN,Sanjay Dina Patil,M,NCP,213505,Kirit Somaiya,M,BJP,210572
Maharashtra,29,Mumbai-North-Central,GEN,Smt. Priya Sunil Dutt,F,INC,319352,Mahesh Ram Jethmalani,M,BJP,144797
Maharashtra,30,Mumbai-South-Central,GEN,Eknath Mahadeo Gaikwad,M,INC,257523,Suresh Anant Gambhir,M,SHS,181817
Maharashtra,31,Mumbai-South,GEN,Milind Murli Deora,M,INC,272411,Bala Nandgaonkar,M,MNS,159729
Maharashtra,32,Raigad,GEN,Anant Gangaram Geete,M,SHS,413546,Barrister A.R. Antulay,M,INC,267025
Maharashtra,33,Maval,GEN,Gajanan Dharmshi Babar ,M,SHS,364857,Pansare Azam Fakeerbhai,M,NCP,284238
Maharashtra,34,Pune,GEN,Suresh Kalmadi,M,INC,279973,Anil Shirole,M,BJP,254272
Maharashtra,35,Baramati,GEN,Smt. Supriya Sadanand Sule,F,NCP,487827,Kanta Jaysing Nalawade,M,BJP,150996
Maharashtra,36,Shirur,GEN,Shivaji Adhalrao Patil,M,SHS,482563,Vilas Vithoba Lande,M,NCP,303952
Maharashtra,37,Ahmednagar ,GEN,Dilip Kumar Mansukhlal Gandhi,M,BJP,312047,Kardile Shivaji Bhanudas,M,NCP,265316
Maharashtra,38,Shirdi,(SC),Bhausaheb Wakchaure ,M,SHS,359921,Athawale Ramdas Bandu,M,RPI(A),227170
Maharashtra,39,Beed,GEN,Gopinath Pandurang Munde ,M,BJP,553994,Kokate Ramesh Baburao (Adaskar),M,NCP,413042
Maharashtra,40,Osmanabad,GEN,Dr. Padmasinha Bajirao Patil ,M,NCP,408840,Gaikwad Ravindra Vishwanath,M,SHS,402053
Maharashtra,41,Latur,(SC),Jayawant Gangaram Awale ,M,INC,372890,Gaikwad Sunil Baliram,M,BJP,364915
Maharashtra,42,Solapur,(SC),Sushil Kumar Sambhajirao Shinde,M,INC,387591,Adv. Bansode Sharad Maruti,M,BJP,287959
Maharashtra,43,Madha,GEN,Sharad Chandra Govindrao Pawar,M,NCP,530596,Deshmukh Subhash Sureshchandra,M,BJP,216137
Maharashtra,44,Sangli,GEN,Pratik Prakashbapu Patil,M,INC,378620,Ajitrao Shankarrao Ghorpade,M,IND,338837
Maharashtra,45,Satara,GEN,Udayanraje Pratapsingh Bhonsle,M,NCP,532583,Purushottam Bajirao Jadhav,M,SHS,235068
Maharashtra,46,Ratnagiri-Sindhudurg,GEN,Dr. Nilesh Narayan Rane,M,INC,353915,Suresh Prabhakar Prabhu,M,SHS,307165
Maharashtra,47,Kolhapur,GEN,Sadashivrao Dadoba Mandlik,M,IND,428082,Chhatrapati Sambhajiraje Shahu,M,NCP,383282
Maharashtra,48,Hatkanangle,GEN,Raju Alias Devappa Anna Shetti ,M,SWP,481025,Mane Nivedita Sambhajirao,M,NCP,385965
Manipur,1,Inner Manipur,GEN,Dr. Thokchom Meinya,M,INC,230876,Moirangthem Nara,M,CPI,199916
Manipur,2,Outer Manipur,(ST),Thangso Baite,M,INC,344517,Mani Charenamei,M,PDA,224719
Meghalaya,1,Shillong,(ST),Vincent H Pala,M,INC,232270,John Filmore Kharshiing,M,UDP,124402
Meghalaya,2,Tura,(ST),Kum. Agatha K. Sangma,F,NCP,154476,Debora C. Marak,M,INC,136531
Mizoram,1,Mizoram,(ST),C. L. Ruala,M,INC,213779,Dr. H. Lallungmuana,M,IND,104824
Nagaland,1,Nagaland,(ST),Chongshen Mongkosungkum Chang,M,NPF,832224,K. Asungba Sangtam,M,INC,349203
Orissa,1,Bargarh,GEN,Sanjay Bhoi,M,INC,397375,Dr. Hamid Hussain,M,BJD,298931
Orissa,2,Sundargarh,(ST),Hemanand Biswal,M,INC,280054,Jual Oram,M,BJP,268430
Orissa,3,Sambalpur,GEN,Amarnath Pradhan,M,INC,304890,Rohit Pujari,M,BJD,290016
Orissa,4,Keonjhar,(ST),Yashbant Narayan Singh Laguri,M,BJD,389104,Dhanurjaya Sidu,M,INC,262620
Orissa,5,Mayurbhanj,(ST),Laxman Tudu,M,BJD,256648,Sudam Marndi,M,JMM,190470
Orissa,6,Balasore,GEN,Srikant Kumar Jena,M,INC,313888,Arun Dey,M,NCP,274988
Orissa,7,Bhadrak,(SC),Arjun Charan Sethi,M,BJD,416808,Ananta Prasad Sethi,M,INC,361870
Orissa,8,Jajpur,(SC),Mohan Jena,M,BJD,433350,Amiya Kanta Mallik,M,INC,305603
Orissa,9,Dhenkanal,GEN,Tathagata Satpathy,M,BJD,398568,Chandra Sekhar Tripathi,M,INC,211981
Orissa,10,Bolangir,GEN,Kalikesh Narayan Singh Deo,M,BJD,430150,Narasingha Mishra,M,INC,339315
Orissa,11,Kalahandi,GEN,Bhakta Charan Das,M,INC,401736,Subash Chandra Nayak,M,BJD,247699
Orissa,12,Nabarangpur,(ST),Pradeep Majhi,M,INC,308307,Domburu Majhi,M,BJD,278330
Orissa,13,Kandhamal,GEN,Rudra Madhab Ray,M,BJD,315314,Suzit Kumar Padhi,M,INC,164307
Orissa,14,Cuttack,GEN,Bhartruhari Mahtab,M,BJD,465089,Bibhuti Bhusan Mishra,M,INC,228797
Orissa,15,Kendrapara,GEN,"Baijayant ""Jay"" Panda",M,BJD,502635,Ranjib Biswal,M,INC,375528
Orissa,16,Jagatsinghpur,(SC),Bibhu Prasad Tarai,M,CPI,457234,Rabindra Kumar Sethy,M,INC,380499
Orissa,17,Puri,GEN,Pinaki Misra,M,BJD,436961,Debendra Nath Mansingh,M,INC,225656
Orissa,18,Bhubaneswar,GEN,Dr. (Prof.) Prasanna Kumar Patasani,M,BJD,400472,Santosh Mohanty,M,INC,147712
Orissa,19,Aska,GEN,Nityananda Pradhan,M,BJD,419862,Ramachandra Rath,M,INC,187028
Orissa,20,Berhampur,GEN,Sidhant Mohapatra,M,BJD,319839,Chandra Sekhar Sahu,M,INC,262552
Orissa,21,Koraput,(ST),Jayaram Pangi,M,BJD,312776,Giridhar Gamang,M,INC,216416
Punjab,1,Gurdaspur,GEN,Sardar Partap Singh Bajwa,M,INC,447994,Vinod Khanna,M,BJP,439652
Punjab,2,Amritsar,GEN,Navjot Singh Sidhu,M,BJP,392046,Om Parkash Soni,M,INC,385188
Punjab,3,Khadoor Sahib,GEN,Dr. Rattan Singh Ajnala,M,SAD,467980,Rana Gurjeet Singh,M,INC,435720
Punjab,4,Jalandhar,(SC),Mohinder Singh Kaypee,M,INC,408103,Hans Raj Hans,M,SAD,371658
Punjab,5,Hoshiarpur,(SC),Smt. Santosh Chowdhary,F,INC,358812,Som Parkash,M,BJP,358446
Punjab,6,Anandpur Sahib,GEN,Ravneet Singh,M,INC,404836,Dr. Daljit Singh Cheema,M,SAD,337632
Punjab,7,Ludhiana,GEN,Manish Tewari,M,INC,449264,Gurcharan Singh Galib,M,SAD,335558
Punjab,8,Fatehgarh Sahib,(SC),Sukhdev Singh Libra,M,INC,393557,Charanjit Singh Atwa,M,SAD,359258
Punjab,9,Faridkot,(SC),Smt. Paramjit Kaur Gulshan,F,SAD,457734,Sukhwinder Singh Danny,M,INC,395692
Punjab,10,Ferozpur,GEN,Sher Singh Ghubaya,M,SAD,450900,Jagmeet Singh Brar,M,INC,429829
Punjab,11,Bathinda,GEN,Smt. Harsimrat Kaur Badal,F,SAD,529472,Raninder Singh,M,INC,408524
Punjab,12,Sangrur,GEN,Vijay Inder Singla,M,INC,358670,Sukhdev Singh Dhindsa,M,SAD,317798
Punjab,13,Patiala,GEN,Smt. Preneet Kaur,F,INC,474188,Prem Singh Chandumajra,M,SAD,376799
Pondicherry,1,Puducherry,GEN,V. Narayanasamy,M,INC,300391,Ramadass. M,M,PMK,208619
Rajasthan,1,Ganganagar,(SC),Bharat Ram Meghwal,M,INC,476554,Nihal Chand,M,BJP,335886
Rajasthan,2,Bikaner,(SC),Arjun Ram Meghwal,M,BJP,244537,"Rewat Ram Panwar
",M,INC,224962
Rajasthan,3,Churu,GEN,Ram Singh Kaswan,M,BJP,376708,Rafique Mandelia,M,INC,364268
Rajasthan,4,Jhunjhunu,GEN,Sis Ram Ola,M,INC,306330,Dr Dasrath Singh Shekhawat,M,BJP,240998
Rajasthan,5,Sikar,GEN,Mahadeo Singh Khandela,M,INC,324812,Subhash Maharia,M,BJP,175386
Rajasthan,6,Jaipur Rural,GEN,Lalchand Kataria,M,INC,278266,Rao Rajendra Singh,M,BJP,226029
Rajasthan,7,Jaipur,GEN,Dr. Mahesh Joshi,M,INC,397438,Ghanshyam Tiwari,M,BJP,381339
Rajasthan,8,Alwar,GEN,Jitendra Singh,M,INC,450119,Dr.Kiran Yadav,M,BJP,293500
Rajasthan,9,Bharatpur,(SC),Ratan Singh,M,INC,301434,Khemchand,M,BJP,219980
Rajasthan,10,Karauli-Dholpur,(SC),Khiladi Lal Bairwa,M,INC,215810,Dr Manoj Rajoria,M,BJP,186087
Rajasthan,11,Dausa,(ST),Dr. Kirodilal Meena,M,IND,433666,Qummer Rubbani,M,IND,295907
Rajasthan,12,Tonk-Sawai Madhopur,GEN,Namo Narain Meena,M,INC,375572,Kirori Singh Bainsla,M,BJP,375255
Rajasthan,13,Ajmer,GEN,Sachin Pilot,M,INC,405575,Kiran Maheshwari,M,BJP,329440
Rajasthan,14,Nagaur,GEN,Dr. (Smt.) Jyoti Mirdha,F,INC,333261,Bindu Chaudhary,M,BJP,178124
Rajasthan,15,Pali,GEN,Badri Ram Jakhar,M,INC,387604,Pusp Jain,M,BJP,190887
Rajasthan,16,Jodhpur,GEN,Smt. Chandresh Kumari Katoch,F,INC,361577,Jaswant Singh Bisnoi,M,BJP,263248
Rajasthan,17,Barmer,GEN,Harish Choudhary,M,INC,416497,Manvendra Singh,M,BJP,297391
Rajasthan,18,Jalore,(SC),Devji Mansingram Patel,M,BJP,194503,Buta Singh,M,IND,144698
Rajasthan,19,Udaipur,(ST),Raghuvir Singh Meena,M,INC,411510,Mahaveer Bhagora,M,BJP,246585
Rajasthan,20,Banswara,(ST),Tarachand Bhagora,M,INC,413169,Hakaru Maida,M,BJP,213751
Rajasthan,21,Chittorgarh,GEN,Dr.(Kum.) Girija Vyas,F,INC,399663,Shrichand Kriplani,M,BJP,326885
Rajasthan,22,Rajsamand,GEN,Gopal Singh Shekhawat,M,INC,294451,Rasa Singh Rawat,M,BJP,248561
Rajasthan,23,Bhilwara,GEN,Dr. C. P. Joshi,M,INC,413128,Vijayendra Pal Singh,M,BJP,277760
Rajasthan,24,Kota,GEN,Ijyaraj Singh,M,INC,360486,Shyam Sharma,M,BJP,277393
Rajasthan,25,Jhalawar-Baran,GEN,Dushyant Singh,M,BJP,429096,Urmila Jain (Bhaya),M,INC,376255
Sikkim,1,Sikkim,GEN,Prem Das Rai,M,SDF,159351,Kharananda Upreti,M,INC,74483
Tamil Nadu,1,Tiruvallur,(SC),Dr. Ponnusamy Venugopal,M,AIADMK,368294,Gayathri.S,M,DMK,336621
Tamil Nadu,2,Chennai North,GEN,T.K.S. Elangovan,M,DMK,281055,Pandian. D,M,CPI,261902
Tamil Nadu,3,Chennai South,GEN,C. Rajendran,M,AIADMK,308567,Bharathy R.S,M,DMK,275632
Tamil Nadu,4,Chennai Central,GEN,Thiru Dayanidhi Maran,M,DMK,285783,Mogamed Ali Jinnah S.M.K,M,ADMK,252329
Tamil Nadu,5,Sriperumbudur,GEN,Thiru Thalikkottai Rajuthevar Baalu,M,DMK,352641,Moorthy A K,M,PMK,327605
Tamil Nadu,6,Kancheepuram,(SC),Viswanathan Perumal,M,INC,330237,Dr.E Ramakrishnan,M,ADMK,317134
Tamil Nadu,7,Arakkonam,GEN,S. Jagathrakshakan,M,DMK,415041,Velu R,M,PMK,305245
Tamil Nadu,8,Vellore,GEN,Abdul Rahman,M,DMK,360474,Vasu L K M B,M,ADMK,253081
Tamil Nadu,9,Krishnagiri,GEN,E.G. Sugavanam,M,DMK,335977,Nanjegowdu. K.,M,ADMK,259379
Tamil Nadu,10,Dharmapuri,GEN,R. Thamaraiselvan,M,DMK,365812,Senthil. R. Dr.,M,PMK,229870
Tamil Nadu,11,Tiruvannamalai,GEN,Thiru Danapal Venugopal,M,DMK,436866,Guru (A) Gurunathan. J,M,PMK,288566
Tamil Nadu,12,Arani,GEN,M. Krishnasswamy,M,INC,396728,Subramaniyan N,M,ADMK,289898
Tamil Nadu,13,Viluppuram,(SC),K. Murugesan Anandan,M,AIADMK,306826,Swamidurai K,M,VCK,304029
Tamil Nadu,14,Kallakurichi,GEN,Adhi Sankar,M,DMK,363601,Dhanaraju K,M,PMK,254993
Tamil Nadu,15,Salem,GEN,S. Semmalai,M,AIADMK,380460,Thangkabalu K V,M,INC,333969
Tamil Nadu,16,Namakkal,GEN,S. Gandhiselvan,M,DMK,371476,Vairam Tamilarasi.V,M,ADMK,269045
Tamil Nadu,17,Erode,GEN,A. Ganeshamurthi,M,MDMK,284148,Elangovan.E.V.K.S.,M,INC,234812
Tamil Nadu,18,Tiruppur,GEN,C. Sivasami,M,AIADMK,295731,Kharventhan S K,M,INC,210385
Tamil Nadu,19,Nilgiris,(SC),Andimuthu Raja,M,DMK,316802,Krishnan C,M,MDMK,230781
Tamil Nadu,20,Coimbatore,GEN,P.R. Natarajan,M,CPM,293165,Prabhu.R,M,INC,254501
Tamil Nadu,21,Pollachi,GEN,K. Sugumar,M,AIADMK,305935,Shanmugasundaram.K,M,DMK,259910
Tamil Nadu,22,Dindigul,GEN,N.S.V. Chitthan,M,INC,361545,Baalasubramani P,M,ADMK,307198
Tamil Nadu,23,Karur,GEN,Dr. Munisamy Thambidurai,M,AIADMK,380542,Pallanishamy. K.C,M,DMK,333288
Tamil Nadu,24,Tiruchirappalli,GEN,P. Kumar,M,AIADMK,298710,Sarubala.R.Thondaiman Lalitha,M,INC,294375
Tamil Nadu,25,Perambalur,GEN,D. Napoleon,M,DMK,398742,"Balasubramanian,K.K.",M,ADMK,321138
Tamil Nadu,26,Cuddalore,GEN,Sambandam Keerapalayam Alagiri,M,INC,320473,Sampath M C,M,ADMK,296941
Tamil Nadu,27,Chidambaram,(SC),Thirumaa Valavan Thol,M,VCK,428804,"Ponnuswamy,E",M,PMK,329721
Tamil Nadu,28,Mayiladuthurai,GEN,O. S. Manian,M,AIADMK,364089,Mani Shankar Aiyar,M,INC,327235
Tamil Nadu,29,Nagapattinam,(SC),A.K.S. Vijayan,M,DMK,369915,Selvaraj M,M,CPI,321953
Tamil Nadu,30,Thanjavur,GEN,S.S. Palanimanickam,M,DMK,408343,Durai.Balakrishnan,M,MDMK,306556
Tamil Nadu,31,Sivaganga,GEN,Palaniappan Chidambaram,M,INC,334348,Raja Kannappan R.S.,M,ADMK,330994
Tamil Nadu,32,Madurai,GEN,M. K. Alagiri,M,DMK,431295,Mohan P ,M,CPM,290310
Tamil Nadu,33,Theni,GEN,J.M. Aaroon Rasheed,M,INC,340575,Thanga Tamilselvan,M,ADMK,334273
Tamil Nadu,34,Virudhunagar,GEN,Manicka Tagore,M,INC,307187,Vaiko,M,MDMK,291423
Tamil Nadu,35,Ramanathapuram,GEN,K. Alias J.K. Ritheesh Shivakumar ,M,DMK,294945,Sathiamoorthy. V,M,ADMK,225030
Tamil Nadu,36,Thoothukkudi,GEN,S. R. Jeyadurai,M,DMK,311017,Cynthia Pandian.Dr,M,ADMK,234368
Tamil Nadu,37,Tenkasi,(SC),P. Lingam,M,CPI,281174,Vellaipandi G,M,INC,246497
Tamil Nadu,38,Tirunelveli,GEN,S.S. Ramasubbu,M,INC,274932,Annamalai K,M,ADMK,253629
Tamil Nadu,39,Kanniyakumari,GEN,Smt. Davidson J. Helen,F,DMK,320161,Radhakrishnan P,M,BJP,254474
Tripura,1,Tripura West,GEN,Khagen Das,M,CPM,563799,Sudip Roy Barman,M,INC,315250
Tripura,2,Tripura East,(ST),Baju Ban Riyan,M,CPM,521084,Diba Chandra Hrangkhawl,M,INC,225503
Uttar Pradesh,1,Saharanpur,GEN,Jagdish Singh Rana,M,BSP,354807,Rasheed Masood,M,SP,269934
Uttar Pradesh,2,Kairana,GEN,Begum Tabassum Hasan,F,BSP,283259,Hukum Singh,M,BJP,260796
Uttar Pradesh,3,Muzaffarnagar,GEN,Kadir Rana,M,BSP,275318,Anuradha Chaudhary,M,RLD,254720
Uttar Pradesh,4,Bijnor,GEN,Sanjay Singh Chauhan,M,RLD,244587,Shahid Siddiqui,M,BSP,216157
Uttar Pradesh,5,Nagina,(SC),Yashvir Singh,M,SP,234815,Ram Kishan Singh,M,BSP,175127
Uttar Pradesh,6,Moradabad,GEN,Mohammed Azharuddin,M,INC,301283,Kunwar Sarvesh Kumar Alias Rakesh,M,BJP,252176
Uttar Pradesh,7,Rampur,GEN,Smt. P. Jaya Prada Nahata,F,SP,230724,Begum Noor Bano Urf Mehtab Zamani Begum,M,BJP,199793
Uttar Pradesh,8,Sambhal,GEN,Shafiqur Rahman Barq,M,BSP,207422,Iqbal Mehmood,M,SP,193958
Uttar Pradesh,9,Amroha,GEN,Devendra Nagpal,M,RLD,283182,Mehboob Ali,M,SP,191099
